id,original,translation
112,พื้น2 ปูกระเบื้องหินขัดสําเร็จรูป SCG สีขาว 3001 ขนาด 0.30x0.30 ม . หนา30มม . (ชั้น2),地面2 铺贴SCG成品水磨石砖白色3001 规格0.30x0.30米 厚30毫米（2层）
113,พื้น4โครงสร้างเหล็กชั้น3 ให้เสริมระยะด้วย,地面4 3层钢结构 需加设间距
114,เหล็ก L- 50x50x5มม .@0.50ม# ปูแผ่นเหล็กcheckered plates หนา4มม . ทาสี,角钢L-50x50x5毫米@0.50米 铺设4毫米厚花纹钢板 刷漆
115,"พื้น5 ปูกระเบื้อง Kenzai Granite Tile GF-201-10สีบราวนี่ ขนาด0.20 x 0.10 ม .(บันได ST-2,ST-4) รวมราคางานบันได",地面5 铺贴Kenzai花岗岩砖 GF-201-10棕色 规格0.20x0.10米（楼梯ST-2、ST-4）含楼梯工程价格
116,พื้น6 ปูกระเบื้อง COTTO ชนิดกันลื้น วิลลี่ สีเทา ขนาด 0.30x0.30 ม . (พื้นห้องน้ําชั้น1และชั้น3),地面6 铺贴COTTO防滑砖 Willy灰色 规格0.30x0.30米（1层和3层卫生间地面）
117,"พื้น8 ทางเท้า ปรับทราย ,เหล็กไวเมท 6มม .@0.20ม .# เทคอนกรีตหนา0.10 ม .,ทําผิวขัดหยาบ เซาะร่อง @ 2.00 ม . (รวมราคางานถนนD2)",地面8 人行道 铺砂调平、钢丝网6毫米@0.20米 浇筑混凝土厚0.10米 做粗拉毛表面 切缝@2.00米（含D2道路工程价格）
118,พื้น9 ติดตั้งพื้นห้องทําความเย็น ความหนา 0.25ม . งานติดตั้งตามมาตรฐานผู้ผลิต และทําพื้น,地面9 安装冷库地面 厚度0.25米 按厂家标准安装并做地面
119,คสล . หนา 0.15ม . ทําผิวขัดมัน Floor Hardener Non Metallic 5 Kg/m2 พร้อมน้ํายาเคลือบผิว,钢筋混凝土 厚0.15米 做抛光表面 非金属地面硬化剂5公斤/平方米 配表面涂层液
120,"พื้น10 ปูกระเบื้องแกรนิโต้ชนิดกันลื้น เทอร์เรเนียม สีเทา ขนาด0.60x0.60 ม . ระบุภายหลัง (พื้นสํานักงาน,ห้องประชุมชั้น3)",地面10 铺贴防滑花岗岩砖 Terrenium灰色 规格0.60x0.60米 后期确定（3层办公室、会议室地面）
121,บัวเชิงผนังห้องเย็น คสล . หนา0.10ม . สูง0.25ม . ทําผิวขัดมัน,冷库墙脚线 钢筋混凝土 厚0.10米 高0.25米 做抛光表面
122,"บัวเชิงผนังชั้น3 ที่ห้องสํานักงาน ,ห้องประชุมใช้บัวสําเร็จรูปสีขาวสูง0.10ม .",3层墙脚线 办公室、会议室使用白色成品脚线 高0.10米
123,TOTAL C3 FLOOR FINISHING & BASE,合计 C3 地面及踢脚线
124,ฝ้าเพดาน3 ยิบซั่มบรอด หนา 9มม . รอยต่อฉาบเรียบ โครงเคร่าเหล็กชุบสังกะสี  (ถ้ามี),吊顶3 石膏板 厚9毫米 接缝批灰抹平 镀锌轻钢龙骨（如有)
125,ฝ้าเพดาน4 ยิบซั่มบรอดชนิดกันชื้น หนา 9มม . รอยต่อฉาบเรียบ โครงเคร่าเหล็กชุบสังกะสี,吊顶4 防水石膏板 厚9毫米 接缝批灰抹平 镀锌轻钢龙骨
126,ฝ้าเพดาน8 ISOWALL ความหนา 0.25ม . สาหรับห้องเย็น งานติดตั้งและโครงตามมาตรฐานผู้ผลิต บริษัทไอ เอ็กซ์ แอล จํากัด,吊顶8 ISOWALL 厚度0.25米 用于冷库 安装及龙骨按IXL有限公司厂家标准
127,TOTAL C4 Ceiling work,合计 C4 吊顶工程
128,D1 อลูมิเนียมบานเปิดคู่ ขนาด 3.00x4.38ม .,D1 铝合金双开门 规格3.00x4.38米
129,D2 อลูมิเนียมบานเปิด ขนาด 3.00x2.55 ม .,D2 铝合金开门 规格3.00x2.55米
130,D3 บานเปิดUPVC ขนาด 1.60x2.20 ม .,D3 UPVC开门 规格1.60x2.20米
131,D4 อลูมิเนียมบานเปิด ขนาด 0.90x2.20 ม .,D4 铝合金开门 规格0.90x2.20米
132,D5 เหล็กกันไฟบานเปิดคู่ ขนาด 2.10x2.05 ม .,D5 防火钢双开门 规格2.10x2.05米
133,D6 เหล็กกันไฟบานเปิด ขนาด 1.10x2.05 ม .,D6 防火钢开门 规格1.10x2.05米
134,D7 อลูมิเนียมบานเลื่อน ขนาด 1.60x2.20ม .,D7 铝合金推拉门 规格1.60x2.20米
135,D7.1 วงกบอลูมิเนียม ขนาด 1.60x2.20ม .,D7.1 铝合金门框 规格1.60x2.20米
136,D8 บานเปิดUPVC ขนาด 0.90x2.00 ม .,D8 UPVC开门 规格0.90x2.00米
137,D8.1 บานเปิดUPVC ขนาด 0.70x2.00 ม .,D8.1 UPVC开门 规格0.70x2.00米
138,D9 อลูมิเนียมบานเปิด ขนาด 1.80x1.65 ม .,D9 铝合金开门 规格1.80x1.65米
139,D10 อลูมิเนียมบานเปิด ขนาด 0.90x2.00 ม .,D10 铝合金开门 规格0.90x2.00米
140,D10.1 วงกบอลูมิเนียม ขนาด 0.90x2.00 ม .,D10.1 铝合金门框 规格0.90x2.00米
141,D11 อลูมิเนียมบานเลื่อน ขนาด 1.60x2.20 ม .,D11 铝合金推拉门 规格1.60x2.20米
142,D12 อลูมิเนียมบานเปิด ขนาด 1.60x2.20 ม .,D12 铝合金开门 规格1.60x2.20米
143,D13 ประตูบานเลื่อนสําหรับห้องเย็น ขนาด 1.60x2.20 ม .,D13 冷库推拉门 规格1.60x2.20米
144,D14 ประตูบานเลื่อนISOWALLโครงเหล็กเหล็ก ขนาด 9.30x10.00 ม .,D14 ISOWALL钢框推拉门 规格9.30x10.00米
145,D14.1 ประตูบานเลื่อนISOWALLโครงเหล็กเหล็ก ขนาด 4.65x6.00 ม .,D14.1 ISOWALL钢框推拉门 规格4.65x6.00米
146,D15 ประตูบานเลื่อนISOWALLโครงเหล็กเหล็ก ขนาด 5.75x10.00 ม .,D15 ISOWALL钢框推拉门 规格5.75x10.00米
147,S1 ประตูเหล็กม้วนไฟฟ้าอัตโนมัติ ขนาด 4.47x5.00 ม .,S1 电动卷帘钢门 规格4.47x5.00米
148,S2 ประตูม้วนผ้าใบไฟฟ้าอัตโนมัติ ขนาด 4.50x4.55 ม .,S2 电动帆布卷帘门 规格4.50x4.55米
149,S3 ประตูม้วนผ้าใบไฟฟ้าอัตโนมัติ ขนาด 5.00x4.55 ม .,S3 电动帆布卷帘门 规格5.00x4.55米
150,S4 ประตูเหล็กม้วนไฟฟ้าอัตโนมัติ ขนาด 8.94x5.00 ม .,S4 电动卷帘钢门 规格8.94x5.00米
151,S5 ประตูเหล็กม้วนไฟฟ้าอัตโนมัติ ขนาด 3.35x5.00 ม .,S5 电动卷帘钢门 规格3.35x5.00米
152,W1 อลูมิเนียมบานกระทุ้ง ขนาด 0.60x1.20ม .,W1 铝合金上悬窗 规格0.60x1.20米
153,W1.1 อลูมิเนียมบานเกล็ดกระทุ้ง ขนาด 0.80x1.85ม .,W1.1 铝合金百叶上悬窗 规格0.80x1.85米
154,W2 อลูมิเนียมบานกระทุ้ง ขนาด 4.47x0.60ม .,W2 铝合金上悬窗 规格4.47x0.60米
155,W3 อลูมิเนียมบานกระทุ้ง ขนาด 0.80x0.60ม .,W3 铝合金上悬窗 规格0.80x0.60米
156,W4 อลูมิเนียมบานเลื่อน ขนาด 1.60x1.10ม .,W4 铝合金推拉窗 规格1.60x1.10米
157,W5 อลูมิเนียมติดตาย ขนาด 2.30x1.60ม .,W5 铝合金固定窗 规格2.30x1.60米
158,W6 อลูมิเนียมบานเกล็ดกระจก ขนาด 3.00x1.70ม .,W6 铝合金玻璃百叶窗 规格3.00x1.70米
159,W6.1 อลูมิเนียมบานเกล็ดอลูมิเนียม ขนาด 0.50x4.00ม .,W6.1 铝合金百叶窗 规格0.50x4.00米
160,TOTAL C5 DOORS & WINDOWS,合计 C5 门窗
161,FIREPROOF RESISTANT PAINTING ≥ 3 HR. (500 Micron)  INC. STRUCTURE,防火涂料 ≥3小时（500微米）含结构
162,TOTAL C6 PAINTING,合计 C6 油漆工程
163,อ่างล้างหน้าสแตนเลสพร้อมอุปกรณ์สดืออ่างท่อน้ําทิ้งและก๊อกน้ําหรือเทียบเท่าขนาดยาว2.40เมตร,不锈钢洗手台含水槽排水管和龙头或同等品 长2.40米
164,อ่างล้างหน้าสแตนเลสพร้อมอุปกรณ์สดืออ่างท่อน้ําทิ้งและก๊อกน้ําหรือเทียบเท่าขนาดยาว2.20เมตร,不锈钢洗手台含水槽排水管和龙头或同等品 长2.20米
165,อ่างล้างหน้าสแตนเลสพร้อมอุปกรณ์สดืออ่างท่อน้ําทิ้งและก๊อกน้ําหรือเทียบเท่าขนาดยาว1.70เมตร,不锈钢洗手台含水槽排水管和龙头或同等品 长1.70米
166,ก๊อกอ่างล้างหน้า อเมริกันสแตนดาดส์A-TJ63-10 TUBO +สายอ่อนZ403+วาวล์CT179 หรือเทียบเท่า,洗手台龙头 美标A-TJ63-10 TUBO +软管Z403+角阀CT179 或同等品
167,โถปัสสาวะชาย รุ่น NATASHA C313+ฟัลชวาวล์ TS401DUF พร้อมอุปกรณ์,男士小便器 型号NATASHA C313+冲洗阀TS401DUF 含配件
168,แผงกั้นโถปัสสาวะ (แบบแขวนผนัง) VERNO ขนาด 1200*550*12มม . รุ่น BP-01,小便器隔板（壁挂式）VERNO 规格1200*550*12毫米 型号BP-01
169,กล่องใส่กระดาษชําระจัมโบ้โรล Verno รุ่น PQS-OB8001C สีดํา,大卷纸巾盒 Verno 型号PQS-OB8001C 黑色
170,ก๊อกน้ําและฝักบัวอาบน้ําแบบสาบอ่อน,冷热水混合龙头和花洒
171,กระจกเงา ขอบอลูมิเนียม ขนาด 1.05x 2.40  ม .,镜面 铝合金边框 规格1.05x2.40米
172,กระจกเงา ขอบอลูมิเนียม ขนาด 1.05x 2.20 ม .,镜面 铝合金边框 规格1.05x2.20米
173,กระจกเงา ขอบอลูมิเนียม ขนาด 1.05x 1.70 ม .,镜面 铝合金边框 规格1.05x1.70米
174,TOTAL C7 SANITARY FOR ARCHITECTURAL WORK,合计 C7 建筑工程卫生洁具
175,"ลูกตั้ง,ลูกนอน,ชานพักปูกระเบื้อง Kenzai Granite Tile GF-201-10สีบราวนี่ ขนาด0.20 x 0.10 ม .",梯级竖板、踏板、休息平台铺贴Kenzai花岗岩砖 GF-201-10棕色 规格0.20x0.10米
176,ราวบันไดเหล็ก ทําสี และผนังก่ออิฐฉาบปูน หนา 0.15ม .,铁楼梯扶手 刷漆 及砖砌抹灰墙 厚0.15米
177,ลูกนอนเหล็กCHECKRED หนา4.5มม . ทาสี,CHECKRED钢板踏板 厚4.5毫米 刷漆
178,ชานพักเหล็กCHECKRED หนา 4มม . โครงเหล็ก L- 50x50x4.5มม .@0.50ม . ทาสี,CHECKRED钢板休息平台 厚4毫米 角钢骨架L-50x50x4.5毫米@0.50米 刷漆
179,แม่บันไดเหล็ก C-200x80x7.5มม .(24.60กก ./ม .)ทาสี,钢梯梁 C-200x80x7.5毫米（24.60公斤/米）刷漆
180,เหล็กยึดแม่บันได Plate 200x150x12มม . และEXP.Bolt 4-M20 ทาสี,梯梁固定钢板200x150x12毫米及膨胀螺栓4-M20 刷漆
181,ทางเดิน กว้าง1.50ม . ในอาคารระดับ EL.+4.80ม .,走道 宽1.50米 建筑内标高EL.+4.80米
182,พื้น4 ทางเดิน เหล็ก L- 50x50x5มม .@0.50ม# ปูแผ่นเหล็กcheckered plates หนา4มม . ทาสี รวมในพื้น F4,地面4 走道 角钢L-50x50x5毫米@0.50米 铺设4毫米厚花纹钢板 刷漆 计入地面F4
183,ผนัง6 สําเร็จรูป ISOWALL ความหนา 0.10ม .(รวมไว้ที่งานผนัง6),墙6 成品ISOWALL 厚度0.10米（已计入墙6项目）
184,ฝ้าเพดาน7 ISOWALL ความหนา 0.10ม .(รวมไว้ที่งานฝ้าเพดาน7),吊顶7 ISOWALL 厚度0.10米（已计入吊顶7项目）
185,ช่องSERVICH บานปิดเปิด ขนาด 0.80x0.80ม .,检修口 开关式盖板 规格0.80x0.80米
186,เหล็กกันเสาที่จอดรถ แบบขยาย 1 แผ่น A3-09,停车场护柱 详图1 图纸A3-09
187,ผนังกันตก คสล . และราวกันชน ชั้น3 แบบขยาย2 แผ่น A3-09,钢筋混凝土挡墙及防撞栏 3层 详图2 图纸A3-09
188,"รางน้ําชั้น1 ขนาด0.20x0.20ม . แบบขยาย แผ่น A7-03,A7-04",1层排水沟 规格0.20x0.20米 详图 图纸A7-03、A7-04
189,"รางน้ําชั้น2 ขนาด0.30x0.30ม . ฝาปิดสแตนเลสแบบขยาย แผ่น A7-05,A7-06",2层排水沟 规格0.30x0.30米 不锈钢盖板 详图 图纸A7-05、A7-06
190,"รางน้ําชั้น3 ขนาด0.20x0.20ม . แบบขยายแผ่น A7-07,A7-08",3层排水沟 规格0.20x0.20米 详图 图纸A7-07、A7-08
191,บ่อSumppitชั้น1 ขนาด1.00x1.00ม .,1层集水坑 规格1.00x1.00米
192,บ่อSumppitชั้น2 ขนาด0.50x0.50ม .,2层集水坑 规格0.50x0.50米
193,TOTAL C8 STAIR WORK,合计 C8 楼梯工程
194,"อาคารห้องเครื่องปั่นไฟฟ้า ,อาคารระบบความเย็นของเครื่องจักร",发电机房建筑、机械设备冷却系统建筑
195,"บ่อพัก,ท่อระบายน้ํา ,รางน้ํา",检查井、排水管、排水沟
196,TOTAL EXTERNAL WORK,室外工程合计
197,ผนังภายนอกรอบอาคารให้ใช้อิฐมวลเบาความหนา 15 ซม .,建筑外围墙采用加气混凝土砌块 厚度15厘米
198,พื้นโครงสร้างทําระบบกันซึม polyurethane coating (water based)  รวมในโครงสร้าง,结构板做防水系统 聚氨酯涂料(水性) 计入结构工程
199,S1 ประตูเหล็กม้วน ขนาด 2.50x2.55 ม .,S1 卷帘钢门 规格2.50x2.55米
200,TOTAL D1 FENCE WORK,合计 D1 围墙工程
201,ขอบคันหิน คสล .RC CURB,钢筋混凝土路缘石 RC CURB
202,เหล็กJoint 25mm.DB@0.30ม .,传力杆25毫米螺纹钢@0.30米
203,เหล็กไวเมท 9มม .@0.20ม .#,钢丝网9毫米@0.20米
204,"พื้น8 ทางเท้า ปรับทราย ,เหล็กไวเมท 6มม .@0.20ม .# เทคอนกรีตหนา0.10 ม .,ทําผิวขัดหยาบ เซาะร่อง @ 2.00 ม .",地面8 人行道 铺砂调平、钢丝网6毫米@0.20米 浇筑混凝土厚0.10米 做粗拉毛表面 切缝@2.00米
205,TOTAL D2 PAVING WORK,合计 D2 铺装工程
206,ท่อ คสล . DIA. 1.00 M. ชั้น 2,钢筋混凝土管 直径1.00米 2级
207,บ่อพัก คสล . 1.50x1.50 ม . FOR RC. PIPE DIA.1.00M.,钢筋混凝土检查井1.50x1.50米 用于钢筋混凝土管直径1.00米
208,บ่อดักขยะ คสล . 1.50x3.00 ม . FOR RC. PIPE DIA.1.00M.,钢筋混凝土截污井1.50x3.00米 用于钢筋混凝土管直径1.00米
209,รางน้ํา คสล .,钢筋混凝土排水沟
210,รางน้ํา คสล . ขนาด 0.30x0.30ม . พร้อมฝาตะแกรง,钢筋混凝土排水沟 规格0.30x0.30米 带格栅盖板
211,TOTAL D3 DRAINAGE WORK,合计 D3 排水工程
212,TOTAL D4 MISCELLANEOUS WORK,合计 D4 杂项工程
213,เลขที่ 95/8 หมู่ 1 ต.คลองหนึ่ง อ . คลองหลวง จ . ปทุมธานี 12120 (สํานักงานใหญ่),编号 95/8 村1 空能县 空銮区 巴吞他尼府 12120（总部）
214,SUMMARY   Electrical-Communication,电气及通信工程汇总
215,Main Incomming,主进线
216,Generator Set,发电机组
217,Cable Feeder TR To MDB,变压器至主配电柜电缆
218,"MDB , EMDB ,ATS",主配电柜、应急配电柜、自动转换开关
219,DISTRIBUTION BOARD,配电箱
220,LOAD PANEL,负载配电箱
221,MAIN FEEDER_MDB To FEEDER,主馈线 主配电柜至分配电柜
222,MAIN FEEDER_DB To SDB,主馈线 配电柜至分配电柜
223,MAIN FEEDER_LOAD PANEL (LP)To LOAD,主馈线 负载配电箱至负载
224,LIGHTING FIXTURE,照明灯具
225,POWER RECEPTACLE,电源插座
226,LIGHTNING PROTECTION SYSTEM,防雷系统
227,GROUNDING SYSTEM,接地系统
228,FIRE ALARM SYSTEM,火灾报警系统
229,FIRE BARRIER,防火封堵
230,MAIN FEEDER_DB FOR MACHINE,设备配电柜主馈线
231,DATA IT. NETWORK SYSTEM,数据IT网络系统
232,TOTAL (A-Q),合计 (A-Q)
233,PEA. Co-ordination Fee,地方电力局协调费
234,DROP OUT FUSE & HV HRC FUSE,跌落式熔断器及高压HRC熔断器
235,OUTDOOR TERMINATION KITS 25 KV.,室外终端头 25千伏
236,HV Cable Overhead (MEA To Drop Fuse) XLPE 12/24 KV_95 Sq.mm,高压架空电缆（MEA至跌落熔断器）XLPE 12/24千伏_95平方毫米
237,HV Cable (Riser Pole To RMU) CU XLPE 12/24 KV_95 SQ.MM,高压电缆（引上杆至RMU）铜芯XLPE 12/24千伏_95平方毫米
238,Cable RMU To TR_CU XLPE 12/24 KV_95 SQ.MM,电缆 RMU至变压器 铜芯XLPE 12/24千伏_95平方毫米
239,"IMC CONDUIT 4""",IMC镀锌管 4英寸
240,OVER HEAD GROUND WIRE 25 SQ.MM.,架空地线 25平方毫米
241,SUPPORT (PIPE RACK) & FITTING,支架（管架）及配件
242,ห้ามแทรกบันทัด กรณีไม่พอให้ใปใส่ใน หมวด S,禁止插入行 如空间不足请填入 S 类
243,Contractor          บริษัท เฟอร์ คอนสตรัคชั่น จํากัด                                                                                           Date :    20-04-69,承包商 菲尔建筑工程有限公司
244,Sub Total A,小计 A
245,"Dry Type Transformer 2,000 kVA. 3P,4W,5O Hz.",干式变压器 2000千伏安 三相四线 50赫兹
246,Terminal Kit For TR.,变压器终端套件
